name,year,km_driven,fuel,seller_type,transmission,owner,selling_price
Maruti Swift VXI,2020,45000,Diesel,Dealer,Manual,First Owner,650000
Hyundai i20 Sportz,2019,52000,Petrol,Individual,Manual,First Owner,550000
Honda City VX,2018,60000,Petrol,Dealer,Manual,Second Owner,700000
Tata Nexon XZ,2021,25000,Diesel,Dealer,Automatic,First Owner,900000
Toyota Innova Crysta,2019,70000,Diesel,Dealer,Manual,First Owner,1500000
Renault Kwid RXT,2017,40000,Petrol,Individual,Manual,Second Owner,300000
Ford EcoSport Titanium,2018,65000,Diesel,Dealer,Manual,First Owner,750000
Maruti Baleno Zeta,2020,30000,Petrol,Individual,Manual,First Owner,650000
Hyundai Creta SX,2021,22000,Diesel,Dealer,Automatic,First Owner,1250000
Honda Amaze VX,2019,48000,Diesel,Individual,Manual,First Owner,700000
Tata Altroz XZ,2020,35000,Petrol,Dealer,Manual,First Owner,600000
Maruti Dzire VDI,2018,58000,Diesel,Individual,Manual,Second Owner,500000
Kia Seltos HTK,2020,42000,Diesel,Dealer,Manual,First Owner,1100000
Volkswagen Polo Highline,2017,62000,Petrol,Individual,Manual,Second Owner,450000
Mahindra XUV500 W8,2018,75000,Diesel,Dealer,Manual,Second Owner,850000
Maruti Wagon R VXI,2019,38000,Petrol,Individual,Manual,First Owner,450000
Hyundai Verna SX,2020,33000,Petrol,Dealer,Automatic,First Owner,950000
Tata Tiago XZ,2018,55000,Petrol,Individual,Manual,Second Owner,350000
Toyota Etios V,2017,68000,Diesel,Individual,Manual,Second Owner,500000
Honda Jazz V,2019,44000,Petrol,Dealer,Manual,First Owner,600000
